Pairs to judge: 236
[77/236] ocg-deepseek-v4-pro / T4_json_extract... score=5
[78/236] ocg-deepseek-v4-pro / T5_translate_ru_en... score=5
[79/236] ocg-deepseek-v4-pro / T6_classify... score=1
[80/236] ocg-deepseek-v4-pro / T7_bash_oneliner... score=5
[81/236] ocg-deepseek-v4-pro / T8_python_function... score=5
[82/236] ocg-glm-5.1 / T1_ru_edit_short... score=5
[83/236] ocg-glm-5.1 / T2_yt_summary_en... score=5
[84/236] ocg-glm-5.1 / T3_yt_summary_ru... score=5
[85/236] ocg-glm-5.1 / T4_json_extract... score=5
[86/236] ocg-glm-5.1 / T5_translate_ru_en... score=5
[87/236] ocg-glm-5.1 / T6_classify... score=5
[88/236] ocg-glm-5.1 / T7_bash_oneliner... score=5
[89/236] ocg-glm-5.1 / T8_python_function... score=5
[90/236] ocg-glm-5 / T1_ru_edit_short... score=5
[91/236] ocg-glm-5 / T2_yt_summary_en... score=5
[92/236] ocg-glm-5 / T3_yt_summary_ru... score=5
[93/236] ocg-glm-5 / T4_json_extract... score=5
[94/236] ocg-glm-5 / T5_translate_ru_en... score=5
[95/236] ocg-glm-5 / T6_classify... score=5
[96/236] ocg-glm-5 / T7_bash_oneliner... score=5
[97/236] ocg-glm-5 / T8_python_function... score=5
[98/236] ocg-hy3-preview / T1_ru_edit_short... score=5
[99/236] ocg-hy3-preview / T3_yt_summary_ru... score=5
[100/236] ocg-hy3-preview / T4_json_extract... score=5
[101/236] ocg-hy3-preview / T5_translate_ru_en... score=5
[102/236] ocg-hy3-preview / T7_bash_oneliner... score=5
[103/236] ocg-kimi-k2.5 / T1_ru_edit_short... score=5
[104/236] ocg-kimi-k2.5 / T2_yt_summary_en... score=5
[105/236] ocg-kimi-k2.5 / T3_yt_summary_ru... score=5
[106/236] ocg-kimi-k2.5 / T4_json_extract... score=5
[107/236] ocg-kimi-k2.5 / T5_translate_ru_en... score=5
[108/236] ocg-kimi-k2.5 / T6_classify... score=5
[109/236] ocg-kimi-k2.5 / T7_bash_oneliner... score=5
[110/236] ocg-kimi-k2.6 / T1_ru_edit_short... score=5
[111/236] ocg-kimi-k2.6 / T3_yt_summary_ru... score=5
[112/236] ocg-kimi-k2.6 / T4_json_extract... score=5
[113/236] ocg-kimi-k2.6 / T5_translate_ru_en... score=5
[114/236] ocg-kimi-k2.6 / T6_classify... score=5
[115/236] ocg-kimi-k2.6 / T7_bash_oneliner... score=5
[116/236] ocg-kimi-k2.6 / T8_python_function... score=5
[117/236] ocg-mimo-v2-omni / T1_ru_edit_short... score=4
[118/236] ocg-mimo-v2-omni / T2_yt_summary_en... score=5
[119/236] ocg-mimo-v2-omni / T3_yt_summary_ru... score=5
[120/236] ocg-mimo-v2-omni / T4_json_extract... score=3
[121/236] ocg-mimo-v2-omni / T5_translate_ru_en... score=5
[122/236] ocg-mimo-v2-omni / T6_classify... score=5
[123/236] ocg-mimo-v2-omni / T7_bash_oneliner... score=3
[124/236] ocg-mimo-v2-pro / T1_ru_edit_short... score=5
[125/236] ocg-mimo-v2-pro / T2_yt_summary_en... score=5
[126/236] ocg-mimo-v2-pro / T3_yt_summary_ru... score=5
[127/236] ocg-mimo-v2-pro / T4_json_extract... score=5
[128/236] ocg-mimo-v2-pro / T5_translate_ru_en... score=5
[129/236] ocg-mimo-v2-pro / T6_classify... score=5
[130/236] ocg-mimo-v2-pro / T7_bash_oneliner... score=5
[131/236] ocg-mimo-v2-pro / T8_python_function... score=1
[132/236] ocg-mimo-v2.5-pro / T1_ru_edit_short... score=5
[133/236] ocg-mimo-v2.5-pro / T2_yt_summary_en... score=5
[134/236] ocg-mimo-v2.5-pro / T3_yt_summary_ru... score=5
[135/236] ocg-mimo-v2.5-pro / T4_json_extract... score=3
[136/236] ocg-mimo-v2.5-pro / T5_translate_ru_en... score=5
[137/236] ocg-mimo-v2.5-pro / T6_classify... score=5
[138/236] ocg-mimo-v2.5-pro / T7_bash_oneliner... score=5
[139/236] ocg-mimo-v2.5-pro / T8_python_function... score=5
[140/236] ocg-mimo-v2.5 / T1_ru_edit_short... score=5
[141/236] ocg-mimo-v2.5 / T2_yt_summary_en... score=5
[142/236] ocg-mimo-v2.5 / T3_yt_summary_ru... score=5
[143/236] ocg-mimo-v2.5 / T4_json_extract... score=3
[144/236] ocg-mimo-v2.5 / T5_translate_ru_en... score=5
[145/236] ocg-mimo-v2.5 / T6_classify... score=5
[146/236] ocg-mimo-v2.5 / T7_bash_oneliner... score=5
[147/236] ocg-mimo-v2.5 / T8_python_function... score=1
[148/236] ocg-minimax-m2.5 / T1_ru_edit_short... score=5
[149/236] ocg-minimax-m2.5 / T2_yt_summary_en... score=5
[150/236] ocg-minimax-m2.5 / T3_yt_summary_ru... score=5
[151/236] ocg-minimax-m2.5 / T4_json_extract... score=5
[152/236] ocg-minimax-m2.5 / T5_translate_ru_en... score=5
[153/236] ocg-minimax-m2.5 / T6_classify... score=5
[154/236] ocg-minimax-m2.5 / T7_bash_oneliner... score=3
[155/236] ocg-minimax-m2.5 / T8_python_function... score=3
[156/236] ocg-minimax-m2.7 / T1_ru_edit_short... score=5
[157/236] ocg-minimax-m2.7 / T2_yt_summary_en... score=5
[158/236] ocg-minimax-m2.7 / T3_yt_summary_ru... score=5
[159/236] ocg-minimax-m2.7 / T4_json_extract... score=3
[160/236] ocg-minimax-m2.7 / T5_translate_ru_en... score=5
[161/236] ocg-minimax-m2.7 / T6_classify... score=5
[162/236] ocg-minimax-m2.7 / T7_bash_oneliner... score=5
[163/236] ocg-minimax-m2.7 / T8_python_function... score=3
[164/236] ocg-qwen3.5-plus / T1_ru_edit_short... score=5
[165/236] ocg-qwen3.5-plus / T2_yt_summary_en... score=5
[166/236] ocg-qwen3.5-plus / T4_json_extract... score=5
[167/236] ocg-qwen3.5-plus / T5_translate_ru_en... score=5
[168/236] ocg-qwen3.6-plus / T1_ru_edit_short... score=5
[169/236] ocg-qwen3.6-plus / T2_yt_summary_en... score=5
[170/236] ocg-qwen3.6-plus / T3_yt_summary_ru... score=5
[171/236] ocg-qwen3.6-plus / T4_json_extract... score=5
[172/236] ocg-qwen3.6-plus / T5_translate_ru_en... score=5
[173/236] ocg-qwen3.6-plus / T6_classify... score=5
[174/236] ocg-qwen3.6-plus / T7_bash_oneliner... score=5
[175/236] ocg-qwen3.6-plus / T8_python_function... score=5
[176/236] ollama-gemma4-e4b / T1_ru_edit_short... score=5
[177/236] ollama-gemma4-e4b / T2_yt_summary_en... score=5
[178/236] ollama-gemma4-e4b / T3_yt_summary_ru... score=5
[179/236] ollama-gemma4-e4b / T4_json_extract... score=5
[180/236] ollama-gemma4-e4b / T5_translate_ru_en... score=5
[181/236] ollama-gemma4-e4b / T6_classify... score=5
[182/236] ollama-gemma4-e4b / T7_bash_oneliner... score=3
[183/236] ollama-gemma4-e4b / T8_python_function... score=1
[184/236] ollama-gpt-oss-20b / T1_ru_edit_short... score=5
[185/236] ollama-gpt-oss-20b / T2_yt_summary_en... score=5
[186/236] ollama-gpt-oss-20b / T3_yt_summary_ru... score=5
[187/236] ollama-gpt-oss-20b / T4_json_extract... score=5
[188/236] ollama-gpt-oss-20b / T5_translate_ru_en... score=5
[189/236] ollama-gpt-oss-20b / T6_classify... score=5
[190/236] ollama-gpt-oss-20b / T7_bash_oneliner... score=5
[191/236] ollama-gpt-oss-20b / T8_python_function... score=5
[192/236] ollama-qwen3-vl-8b / T1_ru_edit_short... score=5
[193/236] ollama-qwen3-vl-8b / T2_yt_summary_en... score=5
[194/236] ollama-qwen3-vl-8b / T3_yt_summary_ru... score=5
[195/236] ollama-qwen3-vl-8b / T4_json_extract... score=5
[196/236] ollama-qwen3-vl-8b / T5_translate_ru_en... score=4
[197/236] ollama-qwen3-vl-8b / T6_classify... score=5
[198/236] ollama-qwen3-vl-8b / T7_bash_oneliner... score=1
[199/236] ollama-qwen3-vl-8b / T8_python_function... score=1
[200/236] ollama-qwen3.5-9b / T2_yt_summary_en... score=5
[201/236] ollama-qwen3.5-9b / T3_yt_summary_ru... score=5
[202/236] ollama-qwen3.5-9b / T4_json_extract... score=5
[203/236] ollama-qwen3.5-9b / T5_translate_ru_en... score=5
[204/236] ollama-qwen3.5-9b / T6_classify... score=5
[205/236] or-kimi-k2 / T1_ru_edit_short... score=5
[206/236] or-kimi-k2 / T2_yt_summary_en... score=5
[207/236] or-kimi-k2 / T3_yt_summary_ru... score=5
[208/236] or-kimi-k2 / T4_json_extract... score=3
[209/236] or-kimi-k2 / T5_translate_ru_en... score=5
[210/236] or-kimi-k2 / T6_classify... score=5
[211/236] or-kimi-k2 / T7_bash_oneliner... score=5
[212/236] or-kimi-k2 / T8_python_function... score=5
[213/236] or-mistral-large / T1_ru_edit_short... score=4
[214/236] or-mistral-large / T2_yt_summary_en... score=5
[215/236] or-mistral-large / T3_yt_summary_ru... score=5
[216/236] or-mistral-large / T4_json_extract... score=3
[217/236] or-mistral-large / T5_translate_ru_en... score=5
[218/236] or-mistral-large / T6_classify... score=5
[219/236] or-mistral-large / T7_bash_oneliner... score=3
[220/236] or-mistral-large / T8_python_function... score=4
[221/236] or-qwen3-235b / T1_ru_edit_short... score=5
[222/236] or-qwen3-235b / T2_yt_summary_en... score=5
[223/236] or-qwen3-235b / T3_yt_summary_ru... score=5
[224/236] or-qwen3-235b / T4_json_extract... score=5
[225/236] or-qwen3-235b / T5_translate_ru_en... score=5
[226/236] or-qwen3-235b / T6_classify... score=None
[227/236] or-qwen3-235b / T7_bash_oneliner... score=None
[228/236] or-qwen3-235b / T8_python_function... score=None
[229/236] or-qwen3-vl-30b / T1_ru_edit_short... score=None
[230/236] or-qwen3-vl-30b / T2_yt_summary_en... score=None
[231/236] or-qwen3-vl-30b / T3_yt_summary_ru... score=None
[232/236] or-qwen3-vl-30b / T4_json_extract... score=None
[233/236] or-qwen3-vl-30b / T5_translate_ru_en... score=None
[234/236] or-qwen3-vl-30b / T6_classify... score=None
[235/236] or-qwen3-vl-30b / T7_bash_oneliner... score=None
[236/236] or-qwen3-vl-30b / T8_python_function... score=None
